Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Belgium	BEL	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																					0.479829612	2.957519917	1.944229781	3.876137801	2.789672018	1.95844549	2.048107106	1.400356496	2.621982617	2.520547623	2.926927281	3.43557248	1.650083448	-1.104760536	2.269113105	2.175285006	1.55309481	0.719018776	1.280307949	1.897279917	1.740938433	2.020076402	2.20757799	
Benin	BEN	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG												1.388402471	6.573556673	-0.936857283	9.841197347	-2.162779034	-1.323491779	6.182296621	-2.155830935	7.375957273	10.91595729	17.97108131	-4.240180951	-6.574545752	2.017023778	5.931458165	8.004985918	1.881715567	-3.128535048	-12.49512882	14.36940774	1.366154167	2.840377827	5.105195744	0.179564157	6.943447198	2.264006457	6.170111149	4.214635482	5.896489711	9.142555159	4.890449098	1.523369879	6.547686711	4.331590739	3.374578178	2.710456029	12.34710585	13.54479211	1.721404304	3.755659467	7.2823521	5.321064213	6.527382083	6.674194699	4.479358182	4.063655948	3.390035927	6.759150228	
Burkina Faso	BFA	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG												0.343894583	7.543875626	-4.168472054	16.83612821	-4.309262156	7.635702387	16.38399784	4.738221733	20.13479093	-4.798795751	5.330213357	15.30696581	3.262069809	-2.276928459	9.077328585	5.298995459	2.158953646	2.471811914	5.450391744	-0.120866923	5.211210188	-2.50718786	-0.354161264	-4.944443143	7.624774321	13.85615766	7.797614158	2.891480184	-0.059618557	11.53598996	4.184634277	7.678680171	3.80070819	9.33149773	8.706201339	12.29803059	6.198156663	2.049993311	5.56820342	4.656939101	3.393668069	10.12765778	8.936097669	3.232298668	6.59835924	5.297222132	8.519959597	6.002768831	
Bangladesh	BGD	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG		0.629359942	0.63898492	4.394314995	1.316838813	5.337387208	3.193783989	6.014514689	-0.328984946	7.657829224	-1.111667137	-6.793181953	-5.648584534	8.643388867	-0.888034806	5.853699239	3.301799074	7.332971972	3.568337715	-1.946641571	8.971776236	3.445880622	3.29531382	3.959340619	4.163731873	3.528473965	4.023559058	3.76617027	3.082899095	3.30380258	3.151218206	3.388203792	4.201321428	3.876905452	4.050693692	4.59364939	3.806840459	4.086269221	4.539845518	4.448852112	5.284413655	5.37154926	4.837153079	4.97885115	5.213099511	6.19559244	6.60211339	6.485114126	5.762382722	5.079970246	5.528829339	6.216625876	6.576056541	5.514156265	5.624357478	5.801061766	6.246900707	6.690715611	6.388370809	
Bulgaria	BGR	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																						9.327494903	-11.31557651	17.09895472	-7.668332263	19.82287242	-8.558199824	24.54588831	14.53595572	-9.193822519	-6.058096215	4.049327675	-26.90000012	0.600000373	-3.100000152	3.999999902	42.67997263	-7.344366922	9.086459023	-13.01636996	4.278429038	3.94153606	8.911944286	3.54208428	5.444036581	9.600483597	7.961420365	9.639328727	-6.906668552	0.807229371	6.051283079	1.407223568	-0.516214541	-0.519531341	1.7152097	3.351426057	3.321290861	4.014817747	4.255278139	
Bahrain	BHR	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																9.790912491	7.787736111	4.959951503	6.296453317	2.502109818	8.067851155	2.948993578	4.526730893	3.18853511	4.345060935	6.001188979	2.352522968	
"Bahamas, The"	BHS	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																															-0.695688115	-12.40803847	2.942205949	3.086563875	0.904288551	5.346751153	3.772778618	-15.35450415	3.3143742	10.89525566	1.081249675	4.841861661	1.916709587	-3.033365821	2.674095399	3.599095996	-1.341561578	5.817597049	-4.115497648	-4.423829946	0.291420768	-0.695432274	0.985565445	-1.744580767	2.792275896	6.577999712	-0.139658512	-3.93056934	3.237887273	
Bosnia and Herzegovina	BIH	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																															4.306209713	5.687819019	4.392470997	-1.674339823	1.066986366	1.735857371	2.020675921	0.438239183	2.558878564	2.293921455	2.028234416	2.465898817	3.062214493	
Belarus	BLR	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																-2.848992596	-14.53592296	-9.007716854	2.769590725	-14.28521896	1.883101828	13.84034845	10.10053069	7.290682646	5.400232679	7.330058286	3.106622153	4.461252564	7.055360254	8.173053055	8.096701041	4.611974488	4.823325447	0.81863794	9.244380735	7.709143795	-0.971989656	5.680743769	3.002511411	-1.480445667	-14.05047567	3.719802886	3.338161829	
Belize	BLZ	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																						1.404834454	-2.346807984	0.018681573	3.474932493	0.725773124	4.995656913	8.086226424	8.920186418	12.46402472	8.613482105	6.783673664	12.60472879	6.017501247	2.279219995	0.858671893	1.41061142	3.386307849	5.452772018	7.908116947	11.05358001	7.262199704	7.977071567	8.164960692	3.292815153	4.558135927	2.560696837	6.239736606	1.16895677	1.270262794	0.809615285	1.575438164	2.319662368	0.864914284	3.730074134	7.285373753	6.910667927	3.176303732	2.227263433	
Bermuda	BMU	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																												
Bolivia	BOL	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG		2.525252525	7.600281492	5.511136493	3.193504736	1.337529504	7.608695652	6.661856662	11.31905299	8.04132064	6.224221972	5.142449719	5.501243219	4.504673398	6.117218933	9.201120556	8.045468619	5.553053873	4.975857589	2.774545119	1.225802973	3.105404945	-4.05551008	-4.221157392	-1.615197273	0.075843773	-3.709685047	1.754842222	2.043657269	3.714436086	3.103806931	4.335725414	4.169791311	4.272453124	4.32209584	3.668299619	5.50679182	7.485009263	6.192457384	4.309614495	1.775350092	1.667232134	1.356690668	1.212622974	2.300720044	2.204781457	3.963165467	4.536923313	4.020272214	4.906882389	5.160632085	4.55041445	5.38775682	6.330023301	5.319130927	5.996642089	5.569303059	4.89526732	5.264314684	
Brazil	BRA	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																	0.911044689	3.085354211	3.899549626	2.882330998	3.898986599	2.530512329	1.18916923	1.501227007	3.700738798	2.039080562	3.02154819	0.883495219	4.891002658	3.669457891	4.497747921	6.133337895	5.074616569	2.888250376	5.825494611	3.457771146	2.902997848	2.753835091	0.985376169	-2.733623282	-2.25733949	0.518525704	1.297503338	
Barbados	BRB	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																	0.80066363	5.827699247	4.145713261	8.366885581	4.190110016	0.092437988	-4.672385472	-0.78498947	3.126206098	3.125	4.917437852	5.534417157	3.572599148	4.367088608	-3.911461492	-3.770905648	-5.082800459	1.744688202	4.821731749	1.166180758	2.385526737	4.503518374	7.092623073	-0.978063434	5.813461267	-2.213628484	0.204554752	3.320631464	1.659641728	2.902306297	7.579954671	2.270599251	1.350423438	-2.269647696	1.629116118	0.932241928	1.261545393	0.711902113	0.419703998	1.308842939	2.030181305			
Brunei Darussalam	BRN	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																															3.580429533	-0.766010876	3.838507036	2.702788365	2.226698605	2.881085788	-0.46556523	7.433856839	-1.176620292	1.88290536	2.511566183	6.103674811	2.767821183	1.648335734	1.995892382	4.122049861	7.406387069	9.237564161	2.64435945	2.08956982	-2.232947527	5.016605489	5.842210386	5.047963516	1.24251497	-1.670856129	3.562030075	1.084382975	0.781845424	
Bhutan	BTN	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																						4.000618711	-2.122482797	2.49940814	3.682223104	17.40798386	14.11379818	14.0442359	10.10914444	9.628465249	32.58173559	1.73912339	-0.218155838	5.847384437	2.42366875	5.163557798	13.27301467	11.39274531	11.18541876	6.726929412	12.07831856	5.924483393	7.23283141	9.374427816	10.79916392	14.80226624	8.156646566	6.064800899	4.674285454	13.26635431	12.13350637	13.25636623	0.666123571	1.621037464	8.240239024	8.504916207	9.800436079	6.717971199	9.020325787	
Botswana	BWA	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG		10.12219865	8.623131565	9.677939792	0.253382452	-1.240601634	4.032139338	3.513198735	12.17828742	-4.298468329	-3.828002122	28.1758603	26.42067868	16.41301131	10.17369729	8.794720155	12.30448989	3.918808134	10.41488717	11.93750272	1.597646112	6.233324506	7.069952048	2.715111251	17.88143981	23.97774156	11.74984025	15.62583756	28.02665754	20.14068936	8.553599999	6.395536963	6.96562834	10.03968494	11.08224231	10.15045899	10.11187141	7.401186855	3.267525633	10.16349356	-1.231846964	2.905599881	5.670844338	3.545719193	-2.366838642	3.600529078	11.62609146	10.37823199	9.997354936	4.776751148	8.742999248	9.027933603	7.237043353	10.09267898	6.488376667	1.338905028	6.629418139	5.078717283	3.958713252	
Central African Republic	CAF	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																			9.103892094	5.566150907	3.828296369	-18.23060627	5.105230107	4.946022902	3.920439573	5.952604558	4.372811747	
Canada	CAN	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																	1.492904844	-0.595068844	2.456306447	2.821991358	1.782837713	2.183698555	2.611120165	1.467132343	1.790251699	2.655157312	2.464311174	
Central Europe and the Baltics	CEB	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																					9.807432974	0.678268787	3.500536697	3.245846373	5.005593183	2.713184224	4.109757412	2.989683407	3.933704349	5.246806543	5.534929679	7.066563996	2.057953644	-1.616863363	1.089151707	1.873903063	5.651557343	0.648754145	2.249084083	3.916748509	3.793888582	4.39972651	4.917136629	
Switzerland	CHE	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																-0.773090679	0.492441522	-0.025645884	0.237269994	0.928110624	1.375126575	2.956368525	3.595261083	1.450544376	4.600181107	0.838557926	-0.111743731	0.266092729	3.197576284	3.022575038	3.643886864	4.192005154	1.864349925	-0.357245566	1.766944777	0.422416839	1.614664029	2.366431252	3.155543955	1.847273988	1.682711616	0.896489942	2.44535384	
Channel Islands	CHI	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																												
Chile	CHL	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG		4.166104591	1.823832855	5.433907071	2.497009419	2.082127831	10.12816325	4.594863384	3.303724092	6.258073892	2.391970032	9.985529294	1.190869773	-2.893129567	-3.374829199	-6.178849078	3.32810713	10.48445621	9.790743345	9.05542026	9.396229761	5.413249723	-9.882273798	-8.316448407	1.494646606	4.77030891	7.695940941	6.461078573	5.637090933	10.3103542	3.619396974	8.696580886	12.07052617	5.829157211	5.1490988	10.08994842	7.600892566	7.056502239	4.68281857	1.232250259	4.764574065	4.34949575	3.671698757	5.105570634	7.390059681	7.094192247	7.389188189	7.74564219	5.276498423	-0.3289782	6.560251631	7.887668369	5.929829076	3.930645418	2.618010048	2.795673463	2.559461598	1.80599432	3.815694618	
China	CHN	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																				7.8	6.12244898	9.527972028	12.68954509	14.66005666	19.39468808	18.1065701	12.30836618	14.66458658	13.16326531	5.861136159	2.668938103	9.181415929	12.61398176	12.16824112	11.36956086	10.08282319	9.208374223	10.43881983	8.394358557	9.258100838	9.76754838	10.26496975	10.48249763	9.539304675	10.1235147	12.35891247	14.1331817	16.06974813	10.47787104	9.587740125	9.66674545	9.489942529	8.011285349	8.300935488	7.807723589	8.194375797	7.69637662	7.905429541	7.622121532	
Cote d'Ivoire	CIV	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																		5.60844411	7.216439466	-7.100408395	18.32347247	4.745918309	8.128053636	-12.41378717	8.896801438	6.636776861	9.155321304	
Cameroon	CMR	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG							4.784888523	-23.58017293	-42.25135646	-4.159553633	20.02641246	2.826509538	33.26151697	-0.507695636	17.4962651	25.18065051	-9.354449783	23.7518742	46.91521907	-6.22256985	-12.39502662	14.06244584	8.025074852	11.56749807	0.835463915	9.255386372	7.154570989	-7.729824943	-2.725956537	-10.00884189	-8.264691869	-2.254064501	-11.0439084	-21.77596042	2.726382543	6.429122319	5.44775876	5.822059756	2.998182916	7.76956405	2.390516497	8.636350841	3.905270429	9.130750252	9.587188121	-3.223896682	2.547419992	5.790058847	7.420900437	3.621843067	5.362783025	4.285156711	4.727006383	4.396643021	4.764838717	3.421977623	4.912691111	4.3385213	4.414300449	
"Congo, Dem. Rep."	COD	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG										7.083678988	-25.79389742	-20.86500331	-1.949051445	10.5552693	-0.627626479	-5.325159535	10.60584197	14.33557956	-1.130594355	11.58186128	-8.774546885	9.616076148	4.981587786	-3.18768634	-7.687035368	-5.12427588	7.204752937	21.5155989	1.187704641	2.153090786	12.03842351	1.982834775	3.772135401	-21.3049573	-6.756343825	2.875476756	-2.760872152	-2.356533162	2.332015095	-9.717613844	-16.85761675	-0.161555321	4.956742346	11.06915223	9.395691721	3.743021927	6.278777969	11.7087204	9.609404498	3.992644322	-4.550385519	1.033007925	6.61161569	7.831399944	6.838013709	9.070483371	4.50340724	2.967969288	1.327151958	
"Congo, Rep."	COG	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG		12.38804204	7.358328596	-6.003454052	3.693663823	7.198803751	-2.136984903	-7.415643385	12.13498844	13.22036096	2.285470589	12.04076392	10.81474433	7.28767363	2.533631448	0.173029706	-2.730650926	-5.353437542	9.631977247	2.874895678	16.029173	36.44797246	19.10168737	-0.715924039	7.596109861	1.027734453	-7.097735803	-2.628403255	-0.143747484	-3.10325878	-1.888847538	7.486141688	1.281318637	-3.670964323	-8.164649044	2.342061112	3.152348225	-14.18559513	1.811613255	-9.345179239	15.75885033	12.30545631	7.400916689	4.581398268	4.608737398	5.048187242	5.548274356	6.223861755	4.969142195	5.316836774	6.534431863	6.82974278	10.48453907	8.10585048	7.312545052	3.84808683	-6.70118708	-10.82045004	-4.395506727	
Colombia	COL	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG							5.804622601	2.869045817	5.36344756	6.809408827	8.527554999	9.261083046	6.616302445	7.35586602	6.308531673	2.795749352	5.22271992	5.723238833	7.963071704	5.13327434	5.001703913	4.318074287	2.9634683	0.96145445	1.572500532	1.948240974	3.776055269	5.020434733	5.616581039	2.606764822	3.972521965	3.193945567	5.957113011	6.385338162	8.041253642	7.208516502	7.156512899	5.144662461	0.228391936	-3.828384209	1.431504437	1.961943344	2.330368653	3.488274779	5.294116546	4.68428261	6.313093263	6.686491419	3.229768424	1.56143197	4.920889533	6.353304455	4.334426307	5.357583567	5.469267157	3.601218277	2.376415349	2.568493151	3.452026721	
Comoros	COM	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																						3.864616584	6.383577713	4.82071186	4.110914752	2.280442954	1.867053907	1.637913479	2.687771926	-3.180487805	5.091073108	-5.396002082	8.531052723	3.006154612	-5.276473026	3.609680507	-1.291514538	4.030410795	1.282567534	1.924443392	10.84811314	2.332998907	2.324441388	2.104322334	1.919494671	2.837040244	2.647192453	0.95163705	5.400020633	0	0.899875816	6.399980599	5.499903131	3.900165275	4.900008837	3.267209467	4.006027276	4.512443825	3.34902037	
Cabo Verde	CPV	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																						11.89543366	9.286260134	9.572911609	5.170599395	4.235643388	2.332548517	-3.139363975	6.358230072	6.502211061	3.502367011	2.693914867	11.89194841	7.855081115	20.75949855	15.3251578	11.877118	16.00843286	14.11433946	9.7469609	17.00989056	7.085303842	6.27806981	5.171835787	11.38575686	7.251124653	8.841729595	-6.945349086	4.289928488	0.493782749	3.262609323	3.145072301	4.068622115	0.321790009	-0.203883191	-0.381792971	5.524708782	1.462158111	4.390100259	
Costa Rica	CRI	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG		-3.038641686	9.027232655	5.449712007	3.272058824	9.59670447	7.382830626	4.105267707	6.064505417	3.091734502	8.499734265	6.24190896	7.317635436	8.22413846	5.617149176	0.915485395	5.815531139	10.64236329	5.401290674	6.017031368	0.95371726	-3.682143217	-4.611330698	1.778040866	5.443422441	2.813074566	5.237745147	4.79013651	3.882882883	5.482612089	4.676400947	1.490732013	6.846837581	5.745925763	4.158720343	2.503759637	1.329216813	4.283082657	5.136496682	5.228938523	4.199894975	3.668677521	4.034784974	3.946317124	4.481393937	4.28838699	6.825238066	8.071871063	7.107731665	2.535228757	5.481996067	4.924730193	5.369607995	4.572055778	4.43931968	4.86964378	4.532426216	3.968163414	2.792302762	
Caribbean small states	CSS	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																															-0.039301716	-4.273046986	0.955307351	2.691688448	1.640567456	0.543283791	3.171606434	-1.057995355	3.151678255	4.448593262	3.757418798	1.996883126	3.05817719	2.167920071	5.486927561	2.943952741	3.487906396	4.53721689	1.590007918	-4.658041992	2.876276906	2.012583864	2.018042548	1.026905259	1.605519251	2.313755273	-1.278972716	-1.803921345	1.429729233	
Cuba	CUB	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																						1.851716873	4.565904319	5.476570049	4.938220784	5.510547804	2.182753169	5.178908652	6.883407439	14.18652788	12.57180878	8.073675712	4.279093913	2.587531039	3.950288504	2.903501281	2.79944675	2.330337441	2.329862207	3.207072005	1.237488173	2.075801176	2.158880081	
Curacao	CUW	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																												
Cayman Islands	CYM	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																5.288388441	-0.475212083	-7.699672648	-2.092246437	1.054601541	1.832534218	1.266423376	1.999669342	2.592812143	2.472369295	3.157953816		
Cyprus	CYP	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																	17.71602819	19.19304651	7.632792935	11.9080354	6.40137715	7.60761171	7.393215108	6.261614754	11.03765967	6.329970932	5.021015735	7.137026697	8.857448879	10.78773243	9.969237032	2.391652807	10.14523731	1.967809967	8.084958125	15.36529217	2.196040239	4.469191176	5.95406768	5.300084623	6.984728817	3.153934263	2.92559066	1.840877321	4.251411283	5.478489278	5.523250831	5.15153416	5.333001759	0.990579399	3.483764128	2.130017186	-2.017812292	-5.299054093	-0.865041878	3.130451342	5.573976305	4.267086014	2.957102037	
Czech Republic	CZE	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																			1.550278949	4.111803157	2.462263514	0.86413215	0.600379956	2.362018788	4.593396597	3.453016937	1.683241419	3.707129309	2.649989369	4.471789839	4.384468758	6.822737994	1.306523311	-3.122292633	1.714629008	0.434383727	0.335886459	1.675577471	2.439275252	5.091434535	3.165940804	2.626122349	4.150532132	
Germany	DEU	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																	3.568956162	1.364563557	2.207035124	3.160763726	2.930021528	2.169382069	3.240905473	2.225685111	2.84084293	3.306028319	1.082817724	-0.752158012	0.826873465	1.255021776	3.465095283	3.283413085	1.815528954	-3.194431505	0.684658797	3.492498498	0.764648089	0.963281917	1.237817903	1.926907497	1.555993486	2.541307025	1.472074836	
Djibouti	DJI	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																																																							7.207970902	6.984871629	7.582835392	4.127754887	4.716248958	
Dominica	DMA	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG																			10.53118345	-8.835499709	19.48984171	2.261728261	3.042680894	2.882493117	2.066623888	4.081525899	4.209508743	5.91223771	5.381344736	4.340100484	5.154364985	4.170320889	2.010884703	2.347545508	4.342265384	4.025456212	2.470098224	2.453938839	4.413739983	3.149323454	1.291734271	1.652073065	0.065299757	6.187102166	0.786886365	-1.711790664	4.280326012	5.596029886	5.654559793	0.982873852	1.880475347	0.148915404	-1.469910519	-0.711930985	5.091886798	-1.184259113	0.348325103	-2.709100823	-7.327008776	
Denmark	DNK	"Services, value added (annual % growth)"	NV.SRV.TOTL.KD.ZG								3.618665282	3.919797213	6.853568196	0.34630782	3.276587352	3.032530305	6.411256071	-0.248324987	-1.172910029	6.330215604	1.989832714	3.147357111	5.005109336	-1.721492265	1.963059534	3.395868102	0.903004323	3.421810278	2.84057332	2.508572733	1.080076167	1.986125206	0.708770811	3.995688513	1.819468768	1.873373735	2.545756049	3.341604593	1.936092317	3.564866398	2.216960708	1.893665651	3.502442177	4.984629616	1.518224323	1.162056895	0.999370836	1.730309302	2.699035321	3.847070863	1.495507128	0.921707642	-2.342664906	2.015456367	1.370503604	-0.37438745	1.706731207	1.656474672	2.647788502	2.653978037	1.861641089	1.898128728	
